"OP_UNIQUE_CARRIER","TAIL_NUM"
"AA","N508AA"
"AA","N553AA"
"AA","N183AA"
"AA","N582AA"
"AA","N187AA"
"AA","N162AA"
"AA","N552AA"
"AA","N838AA"
"AA","N760AA"
"AA","N806AA"
"AA","N712AA"
"AA","N723AA"
"AA","N716AA"
"AA","N715AA"
"AA","N737AA"
"AA","N835AA"
"AA","N740AA"
"AA","N768AA"
"AA","N724AA"
"AA","N815AA"
"AA","N704AA"
"AA","N751AA"
"AA","N753AA"
"AA","N812AA"
"AA","N823AA"
"AA","N764AA"
"AA","N830AA"
"AA","N738AA"
"AA","N826AA"
"AA","N802AA"
"AA","N749AA"
"AA","N808AA"
"AA","N546AA"
"AA","N974AA"
"AA","N971AA"
"AA","N982AA"
"AA","N510AA"
"AA","N914AA"
"AA","N561AA"
"AA","N913AA"
"AA","N587AA"
"AA","N664AA"
"AA","N925AA"
"AA","N544AA"
"AA","N556AA"
"AA","N917AA"
"AA","N557AA"
"AA","N197AA"
"AA","N538AA"
"AA","N948AA"
"AA","N924AA"
"AA","N745AA"
"AA","N763AA"
"AA","N804AA"
"AA","N834AA"
"AA","N978AA"
"AA","N965AA"
"AA","N652AA"
"AA","N545AA"
"AA","N154AA"
"AA","N923AA"
"AA","N192AA"
"AA","N558AA"
"AA","N189AA"
"AA","N199AA"
"AA","N581AA"
"AA","N554AA"
"AA","N575AA"
"AA","N918AA"
"AA","N150AA"
"AA","N190AA"
"AA","N196AA"
"AA","N981AA"
"AA","N973AA"
"AA","N170AA"
"AA","N285AA"
"AA","N284AA"
"AA","N277AA"
"AA","N276AA"
"AA","N272AA"
"AA","N288AA"
"AA","N282AA"
"AA","N270AA"
"AA","N291AA"
"AA","N275AA"
"AA","N290AA"
"AA","N278AA"
"AA","N274AA"
"AA","N273AA"
"AA","N840AA"
"AA","N818AA"
"AA","N748AA"
"AA","N839AA"
"AA","N816AA"
"AA","N814AA"
"AA","N824AA"
"AA","N758AA"
"AA","N810AA"
"AA","N817AA"
"AA","N801AA"
"AA","N822AA"
"AA","N578AA"
"AA","N523AA"
"AA","N165AA"
"AA","N188AA"
"AA","N172AA"
"AA","N174AA"
"AA","N579AA"
"AA","N713AA"
"AA","N756AA"
"AA","N722AA"
"AA","N732AA"
"AA","N827AA"
"AA","N919AA"
"AA","N572AA"
"AA","N157AA"
"AA","N535AA"
"AA","N153AA"
"AA","N169AA"
"AA","N156AA"
"AA","N583AA"
"AA","N831AA"
"AA","N182AA"
"AA","N580AA"
"AA","N563AA"
"AA","N585AA"
"AA","N155AA"
"AA","N586AA"
"AA","N921AA"
"AA","N509AA"
"AA","N912AA"
"AA","N184AA"
"AA","N536AA"
"AA","N161AA"
"AA","N198AA"
"AA","N821AA"
"AA","N829AA"
"AA","N767AA"
"AA","N770AA"
"AA","N828AA"
"AA","N534AA"
"AA","N543AA"
"AA","N926AA"
"AA","N568AA"
"AA","N176AA"
"AA","N537AA"
"AA","N167AA"
"AA","N711AA"
"AA","N825AA"
"AA","N833AA"
"AA","N584AA"
"AA","N807AA"
"AA","N750AA"
"AA","N173AA"
"AA","N976AA"
"AA","N920AA"
"AA","N836AA"
"AA","N762AA"
"AA","N744AA"
"AA","N956AA"
"AA","N967AA"
"AA","N573AA"
"AA","N667AA"
"AA","N542AA"
"AA","N180AA"
"AA","N519AA"
"AA","N916AA"
"AA","N576AA"
"AA","N951AA"
"AA","N655AA"
"AA","N678AA"
"AA","N179AA"
"AA","N191AA"
"AA","N7BCAA"
"AA","N7ADAA"
"AA","N7BDAA"
"AA","N7BSAA"
"AA","N7ASAA"
"AA","N186AA"
"AA","N658AA"
"AA","N673AA"
"AA","N280AA"
"AA","N283AA"
"AA","N293AA"
"AA","N279AA"
"AA","N289AA"
"AA","N287AA"
"AA","N281AA"
"AA","N286AA"
"AA","N201AA"
"AA","N937AA"
"AA","N938AA"
"AA","N660AA"
"AA","N942AA"
"AA","N200AA"
"AA","N205AA"
"AA","N940AA"
"AA","N207AA"
"AA","N203AA"
"AA","N206AA"
"AA","N656AA"
"AA","N936AA"
"AA","N271AA"
"AA","N292AA"
"AA","N941AA"
"AA","N805AA"
"AA","N939AA"
"AA","N935AA"
"AA","N202AA"
"AA","N7BTAA"
"AA","N7BHAA"
"AA","N7LPAA"
"AA","N7LKAA"
"AA","N7AWAA"
"AA","N8AMAA"
"AA","N8AWAA"
"AA","N8AFAA"
"AA","N7BKAA"
"AA","N8AEAA"
"AA","N7AVAA"
"AA","N8APAA"
"AA","N8AVAA"
"AA","N7BXAA"
"AA","N8AKAA"
"AA","N8ANAA"
"AA","N8ADAA"
"AA","N8ASAA"
"AA","N8AJAA"
"AA","N8AUAA"
"AA","N8ARAA"
"AA","N8AHAA"
"AA","N8AAAA"
"AA","N8ATAA"
"AA","N7AGAA"
"AA","N7AFAA"
"AS","N584AS"
"AS","N528AS"
"AS","N586AS"
"AS","N524AS"
"AS","N527AS"
"AS","N530AS"
"AS","N464AS"
"AS","N264AK"
"AS","N457AS"
"AS","N494AS"
"AS","N557AS"
"AS","N467AS"
"AS","N433AS"
"AS","N270AK"
"AS","N251AK"
"AS","N495AS"
"AS","N570AS"
"AS","N614AS"
"AS","N569AS"
"AS","N238AK"
"AS","N237AK"
"AS","N320AS"
"AS","N459AS"
"AS","N442AS"
"AS","N492AS"
"AS","N307AS"
"AS","N585AS"
"AS","N263AK"
"AS","N486AS"
"AS","N793AS"
"AS","N794AS"
"AS","N765AS"
"AS","N762AS"
"AS","N260AK"
"AS","N461AS"
